gene_symbol,n_patients,logrank_p,hazard_ratio,cox_p
ERO1L,499,0.0007190902423245364,1.3982065993293906,1.234594588779291e-06
ECT2,499,0.001335440346894509,1.370245393553598,1.2047708816854683e-05
LHFPL5,499,0.006221779903536609,1.140142162911475,0.013239957710793681
HSPD1,499,0.006711711292862744,1.4432336836576778,0.001149863837130929
WDHD1,499,0.009380555645140246,1.3275133976422964,8.061589646772404e-05
PAICS,499,0.022518151717788183,1.4408373183711072,0.0004897566314671959
CCT3,499,0.025942056667962135,1.4568706844621884,0.0029332098026066474
NCAPG2,499,0.03654087079728627,1.2488398043551945,0.004011647257113596
RUSC1,499,0.04168091414403997,1.2755713992843782,0.05109086584346996
KRTAP4-1,499,0.24672032628139673,1.04372056650653,0.15703568289602735
SRPK1,499,0.25192805417016106,1.4396396712575392,0.006254410683142129
GPT2,499,0.3032620528951832,0.987647812786311,0.8259678473110907
ONECUT1,499,0.33175999148809115,1.0468662720328137,0.2843828493233753
PITX2,499,0.3326766795548093,1.017868433062056,0.4667749456182477
DKC1,499,0.41094977529170074,1.2287557947947623,0.12243454664605075
CST4,499,0.44677504154178904,0.9933949966130717,0.8372565508586831
PODXL2,499,0.4643885580106225,0.9451134684856785,0.13695307785276628
PDIA4,499,0.4694311473568852,1.052003520533468,0.6208525013467983
TDRKH,499,0.4708401286019108,0.8683625439206252,0.1569656656395627
XPR1,499,0.5636615027928094,1.0629688973140647,0.45219543439517806
KISS1R,499,0.6737416887573141,1.0215859943855583,0.5515960617134892
ARSH,499,0.676019768213822,0.9894156350041228,0.8596925956179328
IL1RAPL2,499,0.7917657455807564,0.9791927247167279,0.651879832602565
DMBX1,499,0.9232630075441964,1.0011255895513065,0.9714852252908789
NUP155,499,0.9392640777698273,1.0845678818236753,0.35735258681403126
