gene_symbol,mean_tumor,mean_normal,log2_fold_change,t_statistic,p_value,fdr,cohens_d,abs_log2_fc
CLDN18,7.4046359223300975,14.45722881355932,-7.052592891229223,-40.75874190797745,7.32055595480489e-169,1.5007871762945505e-164,-2.0597093818201957,7.052592891229223
SFTPC,10.406970873786408,18.96545423728813,-8.558483363501724,-39.87467704003681,2.7626602551433075e-167,2.8318648945346473e-163,-1.9513612908996656,8.558483363501724
LGI3,4.206939417475728,10.844725423728814,-6.637786006253086,-45.93985657244465,2.207270813085978e-162,1.508375297969188e-158,-2.539103977781071,6.637786006253086
CNTN6,2.8894957281553393,8.259533898305085,-5.370038170149746,-46.18518061086405,2.0492245977012367e-156,1.0502788369368264e-152,-2.5988133604284216,5.370038170149746
AGER,8.652600582524272,15.411381355932205,-6.758780773407933,-50.21871998645206,1.7690049035899567e-154,7.25327390569954e-151,-2.923187382865605,6.758780773407933
CLIC5,8.47933708737864,13.081861016949151,-4.602523929570511,-44.919868359495055,2.27317218305823e-139,7.767050487479462e-136,-2.626165750291474,4.602523929570511
ACADL,4.543950097087378,8.9677406779661,-4.423790580878722,-37.95886330813437,1.8682306384100504e-134,5.471513759720635e-131,-2.103787106359731,4.423790580878722
AQP4,9.082000970873786,13.765464406779662,-4.683463435905876,-31.924609519389676,7.138373664233545e-128,1.829297481130649e-124,-1.6094688689708323,4.683463435905876
ONECUT1,2.541521359223301,0.04204915254237288,2.499472206680928,30.698023309540247,5.068339441734043e-123,1.154511409944329e-119,1.5004661165385986,2.499472206680928
SUSD2,10.417093398058253,13.88618305084746,-3.469089652789208,-31.240146769852444,4.3261145920975306e-122,8.868967525259147e-119,-1.609878692615977,3.469089652789208
CAV1,10.801736116504856,14.880940677966102,-4.079204561461246,-47.7581414391004,4.343999117359045e-121,8.096029627725253e-118,-3.033898764258296,4.079204561461246
PEBP4,6.216209126213593,10.981032203389832,-4.764823077176239,-31.89066051299757,2.370040242145213e-119,4.0490162503515843e-116,-1.7017479747847626,4.764823077176239
TNNC1,5.937319223300971,10.452093220338982,-4.514773997038011,-39.57586799794271,1.812888844689341e-115,2.8589257080750907e-112,-2.3953483133915983,4.514773997038011
VEPH1,6.506249126213592,10.16292372881356,-3.656674602599968,-33.37433366152305,2.2279968816591535e-113,3.2625831479210217e-110,-1.883855074169658,3.656674602599968
ADH1B,8.418958058252427,13.28564745762712,-4.8666893993746925,-32.21428348861015,9.046469893423285e-113,1.2364111952338053e-109,-1.7875463390772994,4.8666893993746925
PIP5K1B,6.469213009708738,9.479023728813559,-3.009810719104821,-34.16121997738481,8.788765580288667e-109,1.1261155197593623e-105,-1.9918799416902364,3.009810719104821
PITX2,4.877770097087379,0.3704050847457627,4.507365012341616,29.578471973555462,1.2489658794054374e-108,1.5061793819818161e-105,1.583192917175501,4.507365012341616
GPM6A,4.249797087378642,10.215028813559321,-5.965231726180679,-45.70238162087554,4.6661820562814055e-107,5.3145221297680605e-104,-3.0349798605228995,5.965231726180679
WIF1,6.165853009708738,11.599759322033897,-5.433906312325159,-31.693180114481308,6.522072991224189e-107,7.0373167575309e-104,-1.7918613968822967,5.433906312325159
SFTPD,10.388242524271845,14.245137288135597,-3.8568947638637514,-28.375652857586733,7.966578688840737e-106,8.166141484996197e-103,-1.491722561180522,3.8568947638637514
SFTPA1,12.943248737864078,17.978340677966102,-5.035091940102024,-27.90982040129459,8.016596692400808e-105,7.826107085281379e-102,-1.4532564476540686,5.035091940102024
CCDC69,9.632896116504856,11.388547457627118,-1.7556513411222614,-31.63952775089389,1.0443050790922017e-104,9.731499284758738e-102,-1.806634647422944,1.7556513411222614
HYAL1,7.656336893203884,10.478400000000002,-2.8220631067961186,-30.69127972389799,2.6629073582852642e-104,2.3735766848785305e-101,-1.7253404080611645,2.8220631067961186
WNT7A,3.443373980582524,7.456764406779661,-4.013390426197137,-30.584612213067434,7.036169381411396e-104,6.010354520346459e-101,-1.7194927842977126,4.013390426197137
DUOX1,8.54163009708738,12.231225423728816,-3.6895953266414363,-32.306834265249364,1.061178821256184e-103,8.702090805829211e-101,-1.875079206839505,3.6895953266414363
PROS1,9.612157281553397,11.42809152542373,-1.8159342438703323,-31.14965501956531,1.4884305674124165e-102,1.1736275024046903e-99,-1.7823124523960114,1.8159342438703323
GKN2,4.556273009708738,9.933701694915255,-5.377428685206517,-30.57006367918054,4.573320552687565e-102,3.4280865905375002e-99,-1.734561399288179,5.377428685206517
STX11,7.459884077669902,10.751238983050849,-3.2913549053809463,-47.533173423998015,4.682036219455149e-102,3.4280865905375002e-99,-3.2881949135552366,3.2913549053809463
ABCA8,6.0445267961165055,10.207318644067797,-4.162791847951292,-34.64746695366672,8.381068504112867e-102,5.924837427683376e-99,-2.10161488934942,4.162791847951292
FHL1,8.83287495145631,12.81747118644068,-3.9845962349843695,-43.89132988012011,6.324785825745e-101,4.3221478071199414e-98,-2.9602549094904163,3.9845962349843695
EFEMP1,10.80354854368932,12.814588135593224,-2.011039591903904,-30.132051639004263,8.952856590514783e-100,5.920726224585277e-97,-1.7158880259760565,2.011039591903904
CACNA2D2,8.61648990291262,12.56163220338983,-3.94514230047721,-28.675187204633318,4.005496574926385e-99,2.5618639668678303e-96,-1.587478364838382,3.94514230047721
TSPAN7,8.35265786407767,11.123874576271186,-2.7712167121935156,-29.22652435770131,4.123774982032018e-99,2.5618639668678303e-96,-1.6389801290885946,2.7712167121935156
RS1,2.087092038834952,6.53986440677966,-4.452772367944709,-48.38625541988174,7.689819875040174e-99,4.63673521347643e-96,-3.4336377568224217,4.452772367944709
ANKRD29,6.802820582524272,9.90596779661017,-3.103147214085898,-30.96770913316292,1.4503731213443337e-98,8.495456960194339e-96,-1.8031375963675265,3.103147214085898
LOC723809,4.03842718446602,7.948757627118645,-3.910330442652625,-29.58607604236747,2.5179324309720063e-98,1.4338925768710305e-95,-1.6794676485775286,3.910330442652625
CRTAC1,7.629027378640777,11.672638983050847,-4.04361160441007,-29.887341471180424,3.9821874819197525e-98,2.2064547450496445e-95,-1.7089613028664725,4.04361160441007
LOC100131726,4.107743883495146,0.4605864406779661,3.6471574428171794,34.54641026747973,5.7726182448663215e-98,3.11432754310538e-95,2.1336025043596663,3.6471574428171794
IHH,2.8086308737864076,6.525430508474575,-3.7167996346881678,-30.958511405031295,2.085503353307957e-97,1.0962795960555493e-94,-1.8134879265847754,3.7167996346881678
MS4A15,5.768784660194175,10.631074576271185,-4.86228991607701,-29.130092520560765,3.470911786897149e-97,1.7789290635794615e-94,-1.6481470572697448,4.86228991607701
RILPL2,8.711239417475728,10.049918644067796,-1.3386792265920686,-33.759118703023255,5.101702695732328e-97,2.5509757796392305e-94,-2.0722617001766936,1.3386792265920686
SLC15A2,8.394938834951457,10.635440677966102,-2.240501843014645,-27.78240524604807,6.203994381109091e-97,3.0282878287408923e-94,-1.5235995428089577,2.240501843014645
ITLN2,2.2227446601941745,8.980227118644068,-6.757482458449894,-44.97006226881735,7.985371094138669e-97,3.807164948858997e-94,-3.1355153014584682,6.757482458449894
CLIC3,7.659656504854369,10.25874745762712,-2.599090952772751,-28.113945201411283,9.4728442062362e-97,4.4136995243647344e-94,-1.5571168726669344,2.599090952772751
KIAA0408,4.435928543689321,9.35809152542373,-4.922162981734409,-29.473860089539947,4.803499733979241e-96,2.188367734362409e-93,-1.6907783716429239,4.922162981734409
TMEM220,6.145745048543691,7.842550847457628,-1.6968057989139371,-28.051000058730374,5.572158919053284e-96,2.483365869554595e-93,-1.5585736790181526,1.6968057989139371
DPYSL2,11.389698446601942,13.178167796610168,-1.788469350008226,-32.310983277940856,7.941836138880364e-96,3.464161333684816e-93,-1.9527684914805805,1.788469350008226
KISS1R,3.6365553398058252,0.340222033898305,3.2963333059075204,28.71166238200948,7.634160249007136e-95,3.260581651351986e-92,1.6316527141208401,3.2963333059075204
ERO1L,11.141300000000001,9.334750847457627,1.8065491525423738,30.477067548341854,1.8834393959926067e-94,7.880079807600904e-92,1.7987696057723412,1.8065491525423738
EIF2AK1,12.330392038834951,11.347138983050847,0.9832530557841039,35.37738646158638,2.7733397589926544e-94,1.1371247679821682e-91,2.2540690359685858,0.9832530557841039
SFTPA2,14.043149126213592,18.896340677966098,-4.853191551752506,-26.69716445376885,3.8282341668407064e-94,1.538875071654928e-91,-1.4450301279223419,4.853191551752506
ADAMTS8,5.416936893203883,10.030196610169492,-4.613259716965609,-36.08082751205352,6.624955526670088e-94,2.6118887163896825e-91,-2.3250980760748323,4.613259716965609
RICH2,8.382196116504854,10.47148474576271,-2.0892886292578563,-28.0829714601787,1.9143326838098826e-93,7.404855537884228e-91,-1.586243935307004,2.0892886292578563
FIGF,5.013005436893204,10.022723728813558,-5.009718291920354,-34.572830923982586,8.005822806473427e-93,3.039395802879847e-90,-2.1970468815146527,5.009718291920354
C11orf86,3.169121165048544,0.1666135593220339,3.00250760572651,24.906180450093217,1.0860350656984995e-92,4.048146342160898e-90,1.2521562453460642,3.00250760572651
SLC39A8,10.926992233009708,13.738954237288134,-2.811962004278426,-39.933752739419155,1.8835234385560754e-92,6.8953775024710905e-90,-2.7178731505783804,2.811962004278426
SFTA1P,6.877662330097088,10.057464406779664,-3.1798020766825754,-26.173146281863662,2.3609542958089428e-92,8.491565617259498e-90,-1.4108125290048807,3.1798020766825754
GATA6,7.713232038834951,10.015303389830509,-2.3020713509955577,-30.280146953224918,4.6899318073543026e-92,1.6577291721132854e-89,-1.8052223485595396,2.3020713509955577
LEPREL1,8.237491650485437,11.13580338983051,-2.8983117393450737,-28.21710346213683,5.255534343726675e-92,1.826164569165094e-89,-1.6130668747025987,2.8983117393450737
TMEM139,5.966465631067961,8.953550847457628,-2.9870852163896666,-27.2894447997045,2.52638473816664e-91,8.63223558619238e-89,-1.5316488624900664,2.9870852163896666
PLA2G1B,4.149554368932039,8.415410169491526,-4.265855800559487,-29.185429325246623,8.224590488281975e-91,2.7641365508240776e-88,-1.716020201091204,4.265855800559487
DUOXA1,6.671090485436894,9.629122033898305,-2.9580315484614115,-27.426464393081204,1.1765246805165792e-90,3.8903116895597404e-88,-1.5514841071683385,2.9580315484614115
MOSC2,7.592273398058253,9.290259322033899,-1.6979859239756463,-29.551729584880373,2.0702244520915365e-90,6.73677325275057e-88,-1.7545260121033948,1.6979859239756463
ADPRH,8.207741553398058,9.912338983050846,-1.7045974296527877,-36.01153922824079,2.1286742275926747e-90,6.818742240605848e-88,-2.3673494023980104,1.7045974296527877
C10orf116,8.17857786407767,11.700181355932203,-3.521603491854533,-32.966796444882085,8.14597530728161e-90,2.56924061191662e-87,-2.083077445726052,3.521603491854533
DMBX1,3.4413601941747576,0.26144237288135597,3.179917821293402,26.508354244930576,2.994474922907529e-88,9.301474302201098e-86,1.4872068025870984,3.179917821293402
C2orf29,10.601606601941748,9.49565254237288,1.1059540595688677,36.289089067580946,5.146989020427096e-87,1.5749018195190434e-84,2.447218487508002,1.1059540595688677
TGFBR2,11.694786019417476,13.535405084745763,-1.840619065328287,-34.05217686882037,7.8703372574730085e-87,2.3727909428743256e-84,-2.2283902963455904,1.840619065328287
VSIG2,7.280788737864078,10.321032203389832,-3.040243465525754,-23.953485314399366,9.269066071164683e-87,2.7539872974630023e-84,-1.227496354452894,3.040243465525754
C1orf21,9.277754563106797,10.756430508474578,-1.4786759453677814,-25.17085006306166,2.3628745019159947e-86,6.920184309111402e-84,-1.3733165345754976,1.4786759453677814
MMP28,7.802745242718446,10.419099999999998,-2.6163547572815524,-23.636184201283356,2.7095844344186502e-86,7.823829646481232e-84,-1.1840981323937108,2.6163547572815524
ARSH,1.670397281553398,0.08370677966101694,1.5866905018923811,24.757891051785045,2.9915363606859394e-86,8.517984295892006e-84,1.330917339410543,1.5866905018923811
CYP4B1,9.046546213592233,13.44913220338983,-4.402585989797597,-27.59373246326426,3.433706264706682e-86,9.643070155171466e-84,-1.6135592374789416,4.402585989797597
FAM189A2,6.922012233009709,10.55747288135593,-3.6354606483462204,-33.43473991736151,3.979387403688546e-85,1.1024516373380929e-82,-2.1925564202346086,3.6354606483462204
ACOXL,4.805297281553398,7.877571186440677,-3.072273904887279,-28.29422900802506,5.43012683436527e-85,1.4843070697509655e-82,-1.6940024901387665,3.072273904887279
NCKAP5,5.510390097087378,10.135786440677967,-4.625396343590588,-38.041027213322444,1.3103769086738856e-84,3.534741711147807e-82,-2.66973785881156,4.625396343590588
C14orf132,7.9077133980582515,10.936786440677967,-3.029073042619715,-36.71203036010833,1.3518838158715102e-84,3.599346767426212e-82,-2.5322461460229047,3.029073042619715
GAS6,10.72196563106796,12.72034406779661,-1.9983784367286503,-31.35501029926428,2.7451452216829256e-84,7.215156690989956e-82,-1.9993964759830654,1.9983784367286503
MGAT3,6.618436310679612,10.461400000000001,-3.8429636893203893,-36.9460224034786,3.1919334634605914e-84,8.283269358785518e-82,-2.5633537580094092,3.8429636893203893
C4orf31,9.62609067961165,12.268605084745762,-2.6425144051341114,-25.165301369271123,3.4869380328502737e-84,8.935714576432934e-82,-1.3966300445783169,2.6425144051341114
F11,2.8918757281553398,7.648908474576271,-4.757032746420931,-31.833817937565964,4.311295704505561e-84,1.091183620223068e-81,-2.049168633121569,4.757032746420931
CAV2,10.340521941747573,13.136015254237288,-2.7954933124897146,-34.302458742101294,9.361890668477813e-84,2.340586836517849e-81,-2.30084450435093,2.7954933124897146
RAI2,7.3646122330097095,9.726345762711864,-2.361733529702154,-34.29511949727554,1.5129874528477148e-83,3.7370790085338553e-81,-2.3035224285348006,2.361733529702154
CADM1,10.393337281553398,12.347137288135595,-1.9538000065821972,-25.043968137798487,1.8798612031473553e-83,4.58798030068142e-81,-1.3923202917057809,1.9538000065821972
XPR1,11.50300990291262,9.89277627118644,1.6102336317261798,28.933198186938473,1.925597148441629e-83,4.644313781200216e-81,1.773790874394131,1.6102336317261798
IARS2,11.604205436893203,10.81688813559322,0.7873173012999821,27.401203942945468,2.1307789877448483e-83,5.079430235785714e-81,1.6254751305296393,0.7873173012999821
GDF10,4.924155728155339,9.152277966101693,-4.228122237946353,-34.02377277389914,2.3134519523644747e-83,5.451503273037252e-81,-2.279028596793456,4.228122237946353
LAMP3,10.396431067961165,13.789213559322032,-3.392782491360867,-33.62177627225039,1.6549860223368285e-82,3.855553232264468e-80,-2.252153524282656,3.392782491360867
TCF21,6.9137172815533985,10.710377966101694,-3.7966606845482955,-35.53586870710517,2.0661549420761247e-82,4.759353086236251e-80,-2.4507927408723043,3.7966606845482955
ACSS3,6.453851262135922,8.778633898305086,-2.3247826361691644,-27.337076763756674,2.763295924725429e-82,6.294481083644002e-80,-1.6318170110978987,2.3247826361691644
MAPK4,4.1398413592233005,8.103005084745764,-3.963163725522463,-27.628619998318506,4.817655687975308e-82,1.0853490028481515e-79,-1.6631111071555078,3.963163725522463
ARHGAP31,9.25376427184466,11.67383220338983,-2.4200679315451694,-35.02818143668614,2.1581382748977077e-81,4.809129649312816e-79,-2.4167280226687144,2.4200679315451694
METTL7A,10.185386796116505,12.340201694915253,-2.1548148987987474,-31.53457054481154,7.402738079976383e-81,1.6318659502967294e-78,-2.0662766378184303,2.1548148987987474
WDHD1,7.870127378640777,6.211561016949153,1.6585663616916237,27.8195155080384,8.50106126989151e-81,1.8540452882345303e-78,1.6966792501394181,1.6585663616916237
MITF,7.963886019417475,9.420150847457627,-1.456264828040152,-27.100804796678,8.622109262097552e-81,1.8606511787606515e-78,-1.6259255241264865,1.456264828040152
AQP1,12.331853786407768,14.979786440677964,-2.647932654270196,-25.615260384873597,9.220551761744496e-81,1.969068038203374e-78,-1.4793188296622741,2.647932654270196
CAT,10.753905242718448,12.789059322033898,-2.0351540793154506,-37.59880919343484,1.0580336778959358e-80,2.236159632014905e-78,-2.7050090421352317,2.0351540793154506
BEX4,8.896413398058252,10.090374576271186,-1.193961178212934,-22.88376669555085,1.3009256486058876e-80,2.7214568083744186e-78,-1.1865878424012843,1.193961178212934
SRPK1,10.795294368932039,9.272179661016953,1.5231147079150862,38.08185833925259,1.3292316460736817e-80,2.752583633955207e-78,2.7599974541510934,1.5231147079150862
ODAM,1.3191803883495146,5.718523728813558,-4.399343340464044,-38.79283397174389,1.966740270767146e-80,4.032014229099726e-78,-2.8423652143475637,4.399343340464044
